h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
89283000857ffff,0.7880471056856603,0.9221519752275935,0.17927932505409752,0.14128055321816024,0.16532278371610581,Low,0
8928300085bffff,0.9550093501395431,0.9397238296533796,0.1837520923688796,0.175484966319985,0.1726762199477051,Low,0
89283000863ffff,0.8225067413144369,0.96631486659886,0.18674367808847883,0.15359793412562694,0.18045319238024887,Low,0
89283000867ffff,0.7986600518233138,0.9600980737713446,0.18226371662053467,0.145566749361666,0.17499104324578155,Low,0
8928300086bffff,0.916975421071522,0.9767886628299458,0.17481932723575666,0.16030502620344816,0.17076153688744547,Low,0
8928300086fffff,0.9599143053644675,0.9702581477551213,0.17779866357468188,0.1706714806400214,0.1725106019933068,Low,0
89283000873ffff,0.7922703984136266,0.9542370136372385,0.17779641184531111,0.14086283404919786,0.1696599170746862,Low,0
89283000877ffff,0.9045836988261575,0.9603450946959181,0.1763208826726844,0.15949699622834979,0.16932889476716695,Low,0
8928300087bffff,0.9667758298278868,0.9757946788251859,0.1822614879927422,0.17620600129984876,0.17784979013807833,Low,0
89283000883ffff,0.7804710958523825,0.894357046429145,0.18392259833748903,0.14354627187647764,0.16449247182069068,Low,0
89283000887ffff,0.6593015756571341,0.9032568023643512,0.3922847660783927,0.25863396438177455,0.3543338834242165,Very High,0
8928300088bffff,0.704454056399809,0.8993849396827329,0.17633146076337716,0.1242174128056648,0.15858986020283816,Low,0
8928300088fffff,0.9468604243397222,0.9002440652981998,0.18391342659016754,0.17414034514293839,0.16556697081645447,Low,0
89283000893ffff,0.9589455038583484,0.9256288519013025,0.19550120109317373,0.18747499778720578,0.18096155231320007,Low,0
89283000897ffff,0.9445326291266676,0.888059232385574,0.3237856483782776,0.30582610973621727,0.2875408343562786,Very High,0
8928300089bffff,0.9488820957306046,0.8996068311640131,0.18384654961954386,0.17444869929583337,0.16538961192367535,Low,0
892830008a3ffff,0.7646957182058143,0.9222820129902121,0.2847444809297243,0.21774288534969732,0.2626147130597192,Very High,0
892830008a7ffff,0.9539922853178892,0.9323439270664932,0.2135652669745042,0.20373961710553237,0.19911627969601328,Moderate,0
892830008abffff,0.7701778777669582,0.9227542886791275,0.17948365309005507,0.13823433903075957,0.16561931063664503,Low,0
892830008afffff,0.7826888396776741,0.9474395376718581,0.19925083858268727,0.15595140765508705,0.18877812238751124,Low,0
892830008b3ffff,0.9435856607045517,0.8968355792434373,0.35756736851820314,0.33739544166963664,0.3206791380635743,Very High,0
892830008b7ffff,0.7084080065601901,0.8924736555097287,0.21761877891537282,0.154162885361502,0.19421902712616626,Moderate,0
892830008bbffff,0.749693644854406,0.918717893950922,0.3142919694353861,0.2356226921144842,0.28874565624536547,Very High,0
892830008c3ffff,0.7863863762344249,0.9308949597168648,0.18077754220536765,0.14216099631944487,0.16828490286897954,Low,0
892830008c7ffff,0.7750708249150626,0.9257963093320823,0.18078594693711128,0.14012191302559757,0.1673709624534833,Low,0
892830008cbffff,0.8008939387812131,0.9380404137407443,0.1792862946821398,0.1435893067174682,0.16817779004167943,Low,0
892830008cfffff,0.7933346872883478,0.923706534874361,0.1822673776939408,0.1445990330856897,0.16836156787030646,Low,0
892830008d3ffff,0.7668043004701913,0.91057045994585,0.17336103924763213,0.13293399042906595,0.15785744124440693,Low,0
892830008d7ffff,0.7622502175462403,0.9017295842555914,0.1778099733100779,0.13553569083749806,0.16033651330939433,Low,0
892830008dbffff,0.728398534122218,0.9390651919053689,0.18527319425654815,0.13495272310861062,0.17398360771944607,Low,0
89283000903ffff,0.7086870995155048,0.928152803837489,0.20900662038333187,0.14812029557900164,0.19399008072938714,Moderate,0
89283000907ffff,0.7322334613497955,0.9302062910549379,0.2373178786614307,0.17377209173245017,0.22075458371067525,Very High,0
8928300090bffff,0.950436423707228,0.9390231985456591,0.19867123552292362,0.18882437858390394,0.1865568990397537,Low,0
8928300090fffff,0.7794804215630199,0.9245273725127502,0.24253311044950152,0.1890498111761679,0.22422849935122227,Very High,0
89283000913ffff,0.7669731462027183,0.9179941997262673,0.30543045024909315,0.2342569533736598,0.2803833817484498,Very High,0
89283000917ffff,0.9501142676796241,0.9139779840928878,0.2000723509204284,0.1900915951777036,0.18286172396697797,Low,0
8928300091bffff,0.9383625626180241,0.914741663000786,0.23438951456853782,0.21994234554132783,0.21440585434637124,Very High,0
89283000923ffff,0.699755571133023,0.8928864972643579,0.4101655607803498,0.28701563624295034,0.36623129086363765,Very High,0
89283000927ffff,0.7260556855206539,0.889001415293437,0.32448675283347184,0.23559545177087737,0.28846918251292814,Very High,0
8928300092bffff,0.7269030222355878,0.9057859126407517,0.37514900448901706,0.2726969451517386,0.33980468340735376,Very High,0
8928300092fffff,0.6904623163032565,0.8722077577839984,0.4772185409126891,0.3295014191414357,0.4162337135424079,Very High,0
89283000933ffff,0.9540396783105711,0.9190661775883711,0.23657284554884914,0.22569988146444045,0.21742610087978487,Very High,0
89283000937ffff,0.633838004590756,0.8931284025063199,0.2388079448865938,0.15136555126733783,0.2132861583223808,Very High,0
8928300093bffff,0.9064315779036817,0.9172889277876195,0.2902152296547206,0.26306024854760773,0.2662112168376164,Very High,0
89283000943ffff,0.9548699896438956,0.9380544305688068,0.18241616491909957,0.17418372150717976,0.1711162917097315,Low,0
89283000947ffff,0.7734252709344049,0.9412435712603625,0.2112156831126501,0.1633595469369968,0.19880540387914783,Moderate,0
8928300094bffff,0.796238840648343,0.9446573458921217,0.18536393458576014,0.14759396437258096,0.17510540246990502,Low,0
8928300094fffff,0.7893743417244257,0.9487167693601076,0.17899125518548606,0.14129110423647176,0.16981200536328495,Low,0
89283000953ffff,0.7529030589259863,0.9456270892214778,0.1844356475752946,0.13886216323443448,0.17440734456530413,Low,0
89283000957ffff,0.7293095164805157,0.942534916503409,0.17941192132674078,0.13084682159364563,0.16910200028741582,Low,0
8928300095bffff,0.7890980728920863,0.9502265429990873,0.18087275387699658,0.14272634152302263,0.17187009163926323,Low,0
89283000963ffff,0.9560429499705354,0.9466389925788635,0.19964507533443268,0.1908692667698208,0.18899181298791867,Low,0
89283000967ffff,0.9077620190252482,0.9147719127299243,0.3170364217076563,0.2877936222738821,0.29001601389056364,Very High,0
8928300096bffff,0.8188107588433338,0.9467904376326047,0.1764784442758196,0.14450244887697483,0.1670881034886245,Low,0
8928300096fffff,0.9504568483013613,0.951837713672685,0.19231592480894175,0.18278798777206837,0.1830535501729911,Low,0
89283000973ffff,0.8359522631949204,0.9356394251347899,0.24962400146466854,0.2086737489721618,0.23355805723024842,Very High,0
89283000977ffff,0.7743249809906886,0.9143623617139636,0.3431125806480105,0.2656806424879368,0.31372922957508764,Very High,0
8928300097bffff,0.781823604941313,0.947342725603056,0.20402774750296887,0.1595137090608271,0.19328420241811464,Moderate,0
89283000983ffff,0.7414808799404821,0.8765658710833354,0.20751880806608078,0.15387122840903758,0.1819039047586196,Low,0
89283000987ffff,0.9533535069666753,0.8887217409141858,0.2082623119490401,0.1985476054656051,0.18508724444216415,Low,0
8928300098bffff,0.7995572486762093,0.9044253222088242,0.19714710112431552,0.15763039375944812,0.17830483045689471,Low,0
8928300098fffff,0.793417416588992,0.9174063219801623,0.20455225253339834,0.16229531976250802,0.1876575296494223,Low,0
89283000993ffff,0.9549669271315164,0.868296922488061,0.20155628925751637,0.19247959019628147,0.1750107056704149,Low,0
89283000997ffff,0.7959072879331683,0.8863967543270723,0.20081125614493484,0.15982714226476788,0.1779984456792126,Low,0
8928300099bffff,0.8078539818178867,0.8779966477049986,0.20453642170784256,0.16523556270346304,0.1795822925930617,Low,0
892830009a3ffff,0.9538844582706381,0.9002831297027947,0.21198675283365806,0.20221086888728557,0.19084809729661845,Low,0
892830009a7ffff,0.9514458313780482,0.9065444894798578,0.21244714106780271,0.20213194675714502,0.19259278504076655,Low,0
892830009abffff,0.8244854426871278,0.9244714290740833,0.20006622303235327,0.16495168846357142,0.18495550711617392,Low,0
892830009afffff,0.7109860235948592,0.9312840473141616,0.20453642170784256,0.14542253715038023,0.19048150663123575,Low,0
